Date,Open,High,Low,Close,Volume,OpenInt
06-01-2011,16.23,16.357,16.23,16.298,160043,0
07-01-2011,16.335,16.335,16.097,16.111,64281,0
10-01-2011,16.157,16.157,15.972,16.09,82734,0
11-01-2011,16.075,16.164,16.045,16.052,102426,0
12-01-2011,16.083,16.408,16.052,16.239,121082,0
13-01-2011,16.223,16.328,16.127,16.148,127925,0
14-01-2011,16.119,16.328,16.105,16.105,84146,0
18-01-2011,16.09,16.201,16.007,16.059,48207,0
19-01-2011,16.015,16.067,15.942,16,75217,0
20-01-2011,15.972,16.045,15.972,16.023,87627,0
21-01-2011,16.023,16.039,15.896,15.934,64058,0
24-01-2011,15.979,16.045,15.934,15.947,40519,0
25-01-2011,15.986,15.986,15.876,15.896,89748,0
26-01-2011,15.816,15.979,15.808,15.883,736286,0
27-01-2011,15.934,16,15.888,15.992,137237,0
28-01-2011,15.986,16,15.837,15.837,76023,0
31-01-2011,15.829,16,15.8,15.992,564061,0
01-02-2011,15.964,16.23,15.947,16.201,120580,0
02-02-2011,16.111,16.396,16.111,16.388,50137,0
03-02-2011,16.305,16.697,16.298,16.601,103781,0
04-02-2011,16.653,16.87,16.574,16.691,119588,0
07-02-2011,16.706,16.796,16.474,16.521,57686,0
08-02-2011,16.461,16.697,16.461,16.697,113861,0
09-02-2011,16.714,16.877,16.618,16.743,89924,0
10-02-2011,16.653,16.959,16.618,16.913,89960,0
11-02-2011,16.796,17.005,16.773,17.005,62531,0
14-02-2011,16.945,16.973,16.81,16.842,113169,0
15-02-2011,16.757,17.025,16.757,16.885,69539,0
16-02-2011,16.87,17.077,16.87,17.038,123736,0
18-02-2011,16.937,17.167,16.937,17.159,69870,0
22-02-2011,16.987,17.063,16.907,16.945,81391,0
23-02-2011,17.018,17.038,16.842,16.979,95267,0
24-02-2011,16.966,17.005,16.885,16.966,81608,0
25-02-2011,16.685,16.72,16.61,16.61,84220,0
28-02-2011,16.61,16.685,16.594,16.601,76186,0
01-03-2011,16.618,16.691,16.499,16.499,71542,0
02-03-2011,16.526,16.526,15.964,16.388,355990,0
03-03-2011,16.448,16.514,16.431,16.507,70683,0
04-03-2011,16.49,16.678,16.431,16.668,96906,0
07-03-2011,16.706,16.75,16.627,16.631,84563,0
08-03-2011,16.685,16.854,16.618,16.714,83455,0
09-03-2011,16.757,16.854,16.706,16.802,131643,0
10-03-2011,16.802,16.854,16.743,16.842,95101,0
11-03-2011,16.773,17.038,16.668,16.973,198397,0
14-03-2011,16.901,16.937,16.854,16.92,69366,0
15-03-2011,16.773,16.86,16.743,16.81,88838,0
16-03-2011,16.847,16.907,16.757,16.802,63686,0
17-03-2011,16.854,16.927,16.743,16.743,84435,0
18-03-2011,16.847,16.959,16.757,16.937,112540,0
21-03-2011,16.92,16.996,16.802,16.81,84452,0
22-03-2011,16.847,16.86,16.781,16.81,80889,0
23-03-2011,16.824,16.92,16.757,16.854,86171,0
24-03-2011,16.818,16.913,16.788,16.796,84802,0
25-03-2011,16.773,16.854,16.728,16.728,127542,0
28-03-2011,16.743,16.781,16.637,16.697,88477,0
29-03-2011,16.743,16.847,16.706,16.796,58928,0
30-03-2011,16.781,16.854,16.737,16.737,89109,0
31-03-2011,16.743,16.945,16.743,16.907,47790,0
01-04-2011,16.907,17.047,16.847,16.966,44748,0
04-04-2011,16.937,17.025,16.892,16.945,119793,0
05-04-2011,16.901,17.13,16.901,17.107,90469,0
06-04-2011,17.099,17.159,17.077,17.099,47007,0
07-04-2011,17.077,17.188,17.056,17.063,81463,0
08-04-2011,17.047,17.115,16.987,17.011,129090,0
11-04-2011,16.996,17.084,16.987,16.996,56650,0
12-04-2011,17.005,17.056,16.927,16.937,63648,0
13-04-2011,16.937,17.011,16.87,16.937,53869,0
14-04-2011,16.92,16.927,16.847,16.885,42135,0
15-04-2011,16.913,16.92,16.847,16.854,55253,0
18-04-2011,16.75,16.802,16.668,16.691,45759,0
19-04-2011,16.706,16.847,16.691,16.802,55331,0
20-04-2011,16.885,17.018,16.842,17.018,106923,0
21-04-2011,16.996,17.031,16.913,17.018,48690,0
25-04-2011,17.005,17.077,16.927,17.077,92116,0
26-04-2011,17.018,17.188,16.952,17.167,94367,0
27-04-2011,17.077,17.248,17.056,17.234,60087,0
28-04-2011,17.241,17.285,17.203,17.226,53838,0
29-04-2011,17.226,17.3,17.137,17.27,64559,0
02-05-2011,17.336,17.352,17.21,17.329,62091,0
03-05-2011,17.375,17.498,17.375,17.471,75936,0
04-05-2011,17.404,17.582,17.404,17.488,82289,0
05-05-2011,17.492,17.582,17.439,17.552,61578,0
06-05-2011,17.539,17.702,17.517,17.679,56904,0
09-05-2011,17.656,17.759,17.642,17.702,86190,0
10-05-2011,17.685,17.819,17.685,17.811,95713,0
11-05-2011,17.819,17.968,17.797,17.894,119608,0
12-05-2011,17.843,18.119,17.843,18.05,103422,0
13-05-2011,18.05,18.182,18.05,18.137,74974,0
16-05-2011,18.17,18.249,18.014,18.206,125811,0
17-05-2011,18.137,18.17,17.962,18.034,121708,0
18-05-2011,18.027,18.137,18.027,18.125,69497,0
19-05-2011,18.078,18.154,18.007,18.094,80907,0
20-05-2011,18.072,18.177,18.027,18.177,35871,0
23-05-2011,18.027,18.189,18.027,18.189,91138,0
